brand_name,model_name,condition_name,grade_name,gb_spec_name,colour_name,network_name,Count,,,,,
TRENDZ,"UNIVERSAL 6-8 INCH TABLET CASE DITSY FLORAL","Brand New","Brand New","Not Applicable",Multicolour,"Not Applicable",6427
TRENDZ,"HARD COMPACT CAMERA CASE BLACK","Brand New","Brand New","Not Applicable",Black,"Not Applicable",2268
M-EDGE,"GO! JACKET CASE FOR KINDLE 4 & TOUCH / KOBO TOUCH - REPTILE","Brand New","Brand New","Not Applicable",Black,"Not Applicable",2093
Dell,"OPTIPLEX 755",Working,"Grade B - Good Condition",4GB,Silver,"Not Applicable",1736
TRENDZ,"PASSPORT COVER - UNION JACK","Brand New","Brand New","Not Applicable",Multicolour,"Not Applicable",1477
TRENDZ,"UNIVERSAL 7 INCH TABLET CASE FLORAL BLACK","Brand New","Brand New","Not Applicable",Black,"Not Applicable",1172
